TransactionID,CustomerID,CustomerName,Email,PhoneNumber,Address,City,State,ZipCode,Country,RegistrationDate,ProductID,Category,BrandName,Price,StockQuantity,Purchase Quantity,Discount,TotalAmount,DateOfPurchase,PaymentMethod,ReviewDate,Rating,ReviewTitle,ReviewText
18,187,Eric Webb,paul19@robinson.com,2973495331,25772 Shannon Street,Lake Kennethville,IL,45382,USA,1/18/2023,1008,Laptop,PrimeElectro,57.33,131,2,121.88,-7.22,1/18/2024,Credit Card,2/18/2024,2,Good,Overall good performance but some issues.
19,146,Kenneth Khan,woodsjamie@smith-luna.net,2561265900,8603 Brown Mountains,East Cassandraburgh,LA,83472,USA,1/19/2023,1001,Smartphone,Luxora,320.14,160,4,149.21,1131.35,1/19/2024,Debit Card,2/19/2024,5,Below Average,"It's okay, not the best."
20,188,Cheyenne Martin,vcosta@hughes-cox.com,3184907777,0342 Craig Streets Apt. 988,Jenkinshaven,TN,36305,USA,1/20/2023,1004,Smartphone,NovaTech,1470.8,92,4,143.45,5739.75,1/20/2024,Cryptocurrency,2/20/2024,4,Excellent,Overall good performance but some issues.
21,181,Andrew Nguyen,snyderkatherine@valentine.com,2886899665,059 Simmons Mills Suite 298,New Brian,TN,62777,USA,1/21/2023,1002,Smartphone,Luxora,1307.56,176,2,53.41,2561.71,1/21/2024,Bank Transfer,2/21/2024,5,Excellent,"It's okay, not the best."
22,137,Michael Shepherd,djones@hotmail.com,2261607249,8825 Pena Locks Apt. 089,Cainton,KS,28368,USA,1/22/2023,1009,Laptop,PrimeElectro,436.43,142,3,143.37,1165.92,1/22/2024,Credit Card,2/22/2024,2,Average,Really happy with the performance.
23,125,Julie Porter,tranjoseph@gmail.com,5926669754,84588 Berg Drives Suite 029,Rodriguezview,MT,70567,USA,1/23/2023,1007,Accessory,NovaTech,1447.44,135,3,65.93,4276.39,1/23/2024,Bank Transfer,2/23/2024,4,Average,Not satisfied with the product.
24,177,Stephanie Mann,dillon42@smith.com,666054729,8289 Beard Mountains Suite 039,West Stephanie,KS,38778,USA,1/24/2023,1004,Laptop,NovaTech,583.18,157,3,80.17,1669.37,1/24/2024,Credit Card,2/24/2024,1,Average,"It's okay, not the best."
25,172,John Smith,arthurvargas@wilson-brown.com,8948840610,56555 Valencia Center Suite 218,South Tonyaton,AR,8805,USA,1/25/2023,1001,Accessory,UrbanGoods,481.5,101,2,61.12,901.88,1/25/2024,PayPal,2/25/2024,1,Below Average,Overall good performance but some issues.
26,109,Rachel Hernandez,wigginsjennifer@bell-turner.com,8151665165,15810 Soto Inlet,East Dustin,MN,89504,USA,1/26/2023,1008,Smartphone,PrimeElectro,271.57,145,1,149.14,122.43,1/26/2024,Bank Transfer,2/26/2024,4,Good,Terrible experience.
27,120,Julia Rice,harringtonlisa@salazar-gutierrez.biz,9366130427,244 Ruben Mission,Hallshire,RI,77781,USA,1/27/2023,1002,Smartphone,NovaTech,1357.34,122,1,167.76,1189.58,1/27/2024,Credit Card,2/27/2024,4,Poor,Terrible experience.
28,180,Joel Singh,christina76@gmail.com,589928069,06668 Joseph Springs,West Nicoleville,MS,18723,USA,1/28/2023,1003,Accessory,PrimeElectro,1481.14,127,1,53.49,1427.65,1/28/2024,Debit Card,2/28/2024,4,Good,"It's okay, not the best."
29,169,Michele Campos,howechristopher@fitzpatrick.com,6261418891,6670 Katelyn Locks,Caldwellton,AR,3830,USA,1/29/2023,1003,Laptop,UrbanGoods,524.75,108,2,105.25,944.25,1/29/2024,Bank Transfer,2/29/2024,1,Poor,Really happy with the performance.
30,179,Cynthia Harris DDS,qwright@woods.com,9865633736,83833 Duncan Neck Suite 318,Smithmouth,KS,7456,USA,1/30/2023,1004,Laptop,UrbanGoods,1069.97,98,2,142.6,1997.34,1/30/2024,Bank Transfer,3/1/2024,4,Good,"It's okay, not the best."
31,147,David Garner,taylorrose@hotmail.com,2236701625,774 Anne Ways,East Grace,MT,81619,USA,1/31/2023,1001,Laptop,NovaTech,536.19,67,1,165.78,370.41,1/31/2024,Bank Transfer,3/2/2024,4,Good,Not satisfied with the product.
32,164,Joseph Lawson,hannaantonio@lloyd-brown.com,4112871291,1404 Perez Neck Apt. 623,Lake Lisamouth,NE,34684,USA,2/1/2023,1006,Smartphone,EcoGear,202.24,79,3,146.81,459.91,2/1/2024,Credit Card,3/3/2024,5,Poor,Overall good performance but some issues.
33,182,Joy Jenkins,davisstephanie@gmail.com,9731712841,682 Brown Park Suite 297,Ballville,UT,8408,USA,2/2/2023,1002,Laptop,PrimeElectro,619.4,54,3,24.34,1833.86,2/2/2024,Debit Card,3/4/2024,2,Excellent,Terrible experience.
34,199,Charles Day,carrieperkins@hotmail.com,1884810245,280 Miller Prairie,West Hunterburgh,NY,72392,USA,2/3/2023,1005,Accessory,PrimeElectro,849.78,23,1,138.4,711.38,2/3/2024,Debit Card,3/5/2024,5,Average,Overall good performance but some issues.
35,188,Ernest Hunt,chenchristopher@carter.com,1089176185,208 Johnson Rapids Suite 328,Vincentport,CA,65747,USA,2/4/2023,1004,Laptop,Luxora,228.37,176,1,181.55,46.82,2/4/2024,Debit Card,3/6/2024,2,Below Average,Overall good performance but some issues.
36,149,Raymond Rivera,erin09@johns.net,5865435747,055 Stout Rue Suite 806,Lake Aaron,CO,76616,USA,2/5/2023,1009,Laptop,Luxora,1236.5,10,2,91.19,2381.81,2/5/2024,Credit Card,3/7/2024,2,Below Average,"It's okay, not the best."
37,129,Melissa Owens MD,martinezandrew@diaz.com,9614731384,1232 Johnson Island,South Taylorland,NE,53035,USA,2/6/2023,1001,Accessory,UrbanGoods,771.18,123,2,149.81,1392.55,2/6/2024,PayPal,3/8/2024,2,Excellent,Really happy with the performance.
38,119,Jeffery Davis,dsmith@white.org,4720701266,508 Michael Walks,Savagemouth,CA,71711,USA,2/7/2023,1005,Accessory,EcoGear,389.86,189,4,192.58,1366.86,2/7/2024,Cryptocurrency,3/9/2024,1,Excellent,Overall good performance but some issues.
39,119,Scott Hudson,christianboyd@myers.org,1046276889,409 Benjamin Cliffs,North Jessicaville,AK,60677,USA,2/8/2023,1009,Smartphone,PrimeElectro,909.5,55,2,140.32,1678.68,2/8/2024,Bank Transfer,3/10/2024,1,Below Average,Really happy with the performance.
40,114,Kaitlyn Callahan,emma80@yahoo.com,5817503247,04809 Michael Knolls,Josephburgh,MT,67733,USA,2/9/2023,1004,Smartphone,NovaTech,1200.23,160,4,61.5,4739.42,2/9/2024,Bank Transfer,3/11/2024,4,Poor,Not satisfied with the product.
41,139,Kathleen Castro,monicahaley@love-lee.biz,94995284,216 Courtney Points Suite 571,Mooremouth,WA,67376,USA,2/10/2023,1005,Laptop,Luxora,525.06,40,1,93.15,431.91,2/10/2024,PayPal,3/12/2024,5,Below Average,Not satisfied with the product.
42,132,Shane Lane,bpeterson@hotmail.com,2687295012,483 Melissa Ville Apt. 566,Banksberg,CA,82421,USA,2/11/2023,1007,Laptop,EcoGear,1067.14,42,1,96.4,970.74,2/11/2024,Cryptocurrency,3/13/2024,5,Good,Really happy with the performance.
43,165,Laura Allen,dgarcia@hotmail.com,8161257278,1323 James Crest,West Samantha,AL,26932,USA,2/12/2023,1004,Smartphone,UrbanGoods,670.4,129,3,170.56,1840.64,2/12/2024,PayPal,3/14/2024,4,Poor,"It's okay, not the best."
44,109,John Townsend,christine58@conley.com,6838309228,99637 Roberts River Apt. 302,Herringmouth,IL,94682,USA,2/13/2023,1004,Laptop,NovaTech,1447.87,105,4,193.81,5597.67,2/13/2024,Credit Card,3/15/2024,5,Excellent,"It's okay, not the best."
45,157,Jaime Bullock,timothy00@hotmail.com,6564226598,0070 Campbell Inlet,New Tammy,NE,1909,USA,2/14/2023,1002,Laptop,EcoGear,1167.86,55,2,120.67,2215.05,2/14/2024,Credit Card,3/16/2024,4,Below Average,"It's okay, not the best."
46,132,Andrew Clark,david70@yahoo.com,2476958636,7328 Jordan Dam,Butlerstad,DC,49042,USA,2/15/2023,1002,Accessory,PrimeElectro,566.71,110,3,20,1680.13,2/15/2024,Cryptocurrency,3/17/2024,3,Excellent,Terrible experience.
47,131,Brandon Taylor,urichard@yahoo.com,6644718492,88436 Turner Vista,Johntown,NV,80064,USA,2/16/2023,1001,Laptop,UrbanGoods,75.73,141,3,190.16,37.03,2/16/2024,Credit Card,3/18/2024,5,Poor,Not satisfied with the product.
48,174,James Villegas,qshannon@prince-baker.net,6676069960,60437 Strickland Stream,Cunninghamland,MT,97414,USA,2/17/2023,1003,Accessory,NovaTech,1003.4,198,4,198.83,3814.77,2/17/2024,Cryptocurrency,3/19/2024,1,Good,Not satisfied with the product.
49,123,Donald Jackson,hammondjason@patton-hahn.com,5530985319,836 Christina Mount Apt. 209,Annetteland,OR,98248,USA,2/18/2023,1000,Smartphone,PrimeElectro,336.91,173,3,82.14,928.59,2/18/2024,Debit Card,3/20/2024,3,Good,Overall good performance but some issues.
50,135,Jessica Miller,natalietorres@young.com,6755087218,899 Aaron Flats,Penafort,FL,29339,USA,2/19/2023,1001,Laptop,UrbanGoods,226.72,29,4,166.04,740.84,2/19/2024,Cryptocurrency,3/21/2024,4,Excellent,Really happy with the performance.
51,175,Ronald Warren,thomasmichael@grimes.com,2718924738,7367 Tate Parkways Apt. 583,Port Joshuaview,WA,32480,USA,2/20/2023,1009,Accessory,PrimeElectro,1401.08,108,4,89.61,5514.71,2/20/2024,Debit Card,3/22/2024,1,Poor,Terrible experience.
52,155,Curtis Moore,kelly85@gillespie-crawford.biz,7170585636,76701 Griffith Fall,Jesusborough,RI,53782,USA,2/21/2023,1001,Accessory,PrimeElectro,1499.93,155,2,140.62,2859.24,2/21/2024,PayPal,3/23/2024,5,Good,Terrible experience.
53,128,Amy Burns,bboyd@heath.com,4242778927,9941 Bryce Circle,East Kenneth,VT,4133,USA,2/22/2023,1006,Accessory,EcoGear,441.34,13,1,13.17,428.17,2/22/2024,PayPal,3/24/2024,2,Good,Overall good performance but some issues.
54,134,Kaitlin Johnson,williamsonedward@yahoo.com,1696272048,0850 Jennifer Fields Suite 183,Port Amber,WV,3584,USA,2/23/2023,1009,Accessory,NovaTech,487.56,198,2,178.68,796.44,2/23/2024,Credit Card,3/25/2024,4,Good,Really happy with the performance.
55,100,Steve Castro,bradley62@gmail.com,7133221960,049 Alyssa Forge,Knoxberg,VT,92791,USA,2/24/2023,1008,Laptop,UrbanGoods,289.23,75,4,13.73,1143.19,2/24/2024,Debit Card,3/26/2024,5,Poor,"It's okay, not the best."
56,100,David Alexander,julie27@yahoo.com,8031531156,021 Anthony Branch,Lake Sarah,CO,60204,USA,2/25/2023,1006,Smartphone,PrimeElectro,713.64,153,4,47.91,2806.65,2/25/2024,Debit Card,3/27/2024,5,Good,Overall good performance but some issues.
57,136,Luis Wilson,douglashoward@mann.org,9501216564,07528 George Village Suite 942,Lake Stephanie,MI,70319,USA,2/26/2023,1003,Accessory,Luxora,1305.47,115,2,115.71,2495.23,2/26/2024,Debit Card,3/28/2024,4,Poor,"It's okay, not the best."
58,153,Paul Welch,briannariggs@gmail.com,2782876994,377 Ruiz Ford,Christineville,NY,98444,USA,2/27/2023,1000,Smartphone,UrbanGoods,1067.18,18,2,177.12,1957.24,2/27/2024,Debit Card,3/29/2024,4,Excellent,"It's okay, not the best."
59,105,Dana Briggs,peter05@gmail.com,4686420072,637 Gamble Point Apt. 894,Fernandezfurt,ND,11468,USA,2/28/2023,1007,Accessory,PrimeElectro,1277.18,130,3,58.14,3773.4,2/28/2024,Bank Transfer,3/30/2024,4,Poor,"It's okay, not the best."
60,138,Lisa Sanchez,jeffrey25@yahoo.com,3299517939,009 Kelly Loop,Tracyton,AL,51766,USA,3/1/2023,1003,Accessory,PrimeElectro,381.3,62,3,22.42,1121.48,2/29/2024,Bank Transfer,3/31/2024,5,Excellent,"It's okay, not the best."
61,117,Fred Kennedy,caseydavila@hotmail.com,8187824682,683 Katherine Forest,Port Anita,MD,27016,USA,3/2/2023,1002,Accessory,EcoGear,1109.16,160,3,162.87,3164.61,3/1/2024,PayPal,4/1/2024,3,Excellent,Not satisfied with the product.
62,179,Michael Martin,eric72@gmail.com,652347701,77703 Fernandez Cliff Apt. 949,Ashleyland,MI,17074,USA,3/3/2023,1005,Smartphone,NovaTech,1381.86,20,1,75.06,1306.8,3/2/2024,Bank Transfer,4/2/2024,2,Good,Overall good performance but some issues.
63,104,Kaylee Miller,shawgina@yahoo.com,7243856610,32037 Chen Lodge Apt. 018,Cooleyland,VA,39648,USA,3/4/2023,1009,Smartphone,EcoGear,458.05,54,1,150,308.05,3/3/2024,Credit Card,4/3/2024,5,Excellent,Terrible experience.
64,142,Tara Nelson,shannon83@yahoo.com,6392583670,896 William Isle,Anthonymouth,PA,30921,USA,3/5/2023,1007,Smartphone,UrbanGoods,1051.45,150,1,42.51,1008.94,3/4/2024,Bank Transfer,4/4/2024,4,Excellent,Really happy with the performance.
65,158,Anthony Ramirez,nmiller@gmail.com,8712662886,7610 Jessica Knoll Apt. 562,Estradashire,RI,4214,USA,3/6/2023,1003,Laptop,NovaTech,630.95,13,1,50.41,580.54,3/5/2024,Cryptocurrency,4/5/2024,3,Average,Not satisfied with the product.
66,131,Joshua Porter,geraldmiller@delgado.com,4314557459,7386 Wheeler Ville Apt. 957,Luceroside,WV,21638,USA,3/7/2023,1004,Smartphone,PrimeElectro,470.83,32,2,74.04,867.62,3/6/2024,Debit Card,4/6/2024,2,Average,Overall good performance but some issues.
67,101,Amy Meza,kevin70@hotmail.com,9350473057,0121 Callahan Stravenue Apt. 974,Stewartfurt,NC,30911,USA,3/8/2023,1007,Laptop,Luxora,1455.95,150,4,158.01,5665.79,3/7/2024,PayPal,4/7/2024,3,Average,"It's okay, not the best."
68,165,Kyle Huber,hinesalicia@hotmail.com,4945248096,53551 Powell Cove Suite 540,Mosleymouth,WV,32123,USA,3/9/2023,1006,Laptop,PrimeElectro,555.52,163,3,187.98,1478.58,3/8/2024,Cryptocurrency,4/8/2024,4,Below Average,Not satisfied with the product.
69,141,Antonio Carter,kathylee@yahoo.com,7692549889,7912 Tabitha Mission,Brianmouth,IA,71481,USA,3/10/2023,1007,Smartphone,NovaTech,206.38,191,3,158.51,460.63,3/9/2024,Bank Transfer,4/9/2024,2,Poor,Really happy with the performance.
70,157,Joseph Mcclain,frankpham@figueroa.com,6812464449,59475 Fox Drive Suite 302,Patriciatown,MI,62557,USA,3/11/2023,1003,Accessory,EcoGear,613.45,100,4,6.51,2447.29,3/10/2024,Cryptocurrency,4/10/2024,3,Poor,"It's okay, not the best."
71,135,Alexander Conner,olong@yahoo.com,9602907498,14907 Moore Groves,New Michaeltown,CO,84933,USA,3/12/2023,1006,Accessory,PrimeElectro,699.13,50,2,162.65,1235.61,3/11/2024,Cryptocurrency,4/11/2024,3,Average,Overall good performance but some issues.
72,111,Dean Hughes DDS,stephen18@gmail.com,512294963,0287 Ashlee Lodge Suite 553,Amberfurt,WY,4941,USA,3/13/2023,1009,Laptop,PrimeElectro,1140.71,179,4,129.1,4433.74,3/12/2024,Cryptocurrency,4/12/2024,3,Good,Not satisfied with the product.
73,146,Dean Rodriguez,pattersonnatalie@gmail.com,784692425,31352 Kendra Ports Apt. 084,Kathryntown,NV,76283,USA,3/14/2023,1003,Accessory,Luxora,1427.38,138,2,160.71,2694.05,3/13/2024,Bank Transfer,4/13/2024,2,Average,"It's okay, not the best."
74,182,Cindy Christensen,cunninghamjames@gmail.com,6978807453,987 Simmons Bridge,Thompsonville,NH,9799,USA,3/15/2023,1007,Accessory,PrimeElectro,1234.73,193,4,116.6,4822.32,3/14/2024,Cryptocurrency,4/14/2024,4,Poor,Not satisfied with the product.
75,191,Anna Anderson,smithbrian@hotmail.com,2416755761,53192 Ruth Camp Suite 915,Williamstown,WV,20425,USA,3/16/2023,1001,Laptop,NovaTech,1399.86,69,4,10.59,5588.85,3/15/2024,Cryptocurrency,4/15/2024,2,Average,"It's okay, not the best."
76,100,Richard Cabrera,aaron03@yahoo.com,1822322092,43757 Hall Hill,Mcdonaldhaven,CO,74778,USA,3/17/2023,1003,Smartphone,PrimeElectro,738.84,190,3,161.61,2054.91,3/16/2024,Cryptocurrency,4/16/2024,3,Good,"It's okay, not the best."
77,114,Carmen Huber,lisa69@gmail.com,8037545712,65261 Reyes Course,Hickston,VT,46507,USA,3/18/2023,1007,Laptop,Luxora,1093.01,165,4,19.89,4352.15,3/17/2024,Credit Card,4/17/2024,3,Poor,"It's okay, not the best."
78,199,Ashley Mckenzie,obrown@williams.com,6601068764,206 Samantha Parks,New Brandi,MD,93545,USA,3/19/2023,1008,Smartphone,NovaTech,498.12,50,3,72.91,1421.45,3/18/2024,Cryptocurrency,4/18/2024,4,Excellent,Not satisfied with the product.
79,153,Patricia Thompson,savannahbennett@webb.com,7454190708,12668 Chase Station Suite 595,Brittanyshire,MA,31274,USA,3/20/2023,1008,Smartphone,EcoGear,150.9,31,1,110.42,40.48,3/19/2024,Bank Transfer,4/19/2024,1,Good,Terrible experience.
80,112,James Obrien,kendracole@mckay.com,3319291737,741 Romero Dale,North Erintown,NC,18064,USA,3/21/2023,1004,Laptop,EcoGear,579.94,86,1,60.75,519.19,3/20/2024,PayPal,4/20/2024,4,Below Average,Really happy with the performance.
81,142,Monica Lozano,petersonmark@hotmail.com,5287459565,108 Johnny Islands,Dawnfurt,WV,52151,USA,3/22/2023,1005,Accessory,NovaTech,1061.98,145,2,153.15,1970.81,3/21/2024,Credit Card,4/21/2024,2,Average,Not satisfied with the product.
82,184,Jason Anderson,vjames@peterson.info,9048327669,6336 Jennifer Mountain,South Heatherville,NH,65091,USA,3/23/2023,1003,Smartphone,EcoGear,448.2,141,3,194.96,1149.64,3/22/2024,Debit Card,4/22/2024,3,Poor,Overall good performance but some issues.
83,175,Jeremy Nelson,nicholasrandall@hotmail.com,6603804478,93202 Jennifer Springs,New Veronica,MI,16833,USA,3/24/2023,1006,Laptop,UrbanGoods,1299.04,37,4,95.2,5100.96,3/23/2024,Debit Card,4/23/2024,5,Good,Really happy with the performance.
84,168,Benjamin Morgan,sandersbrittney@yahoo.com,991994386,97622 Wilson Courts,Michaelton,CT,48769,USA,3/25/2023,1009,Laptop,NovaTech,1196.62,195,3,190.79,3399.07,3/24/2024,Bank Transfer,4/24/2024,3,Below Average,Really happy with the performance.
85,106,Christina Fernandez,fernando64@hotmail.com,4466324701,5322 Bryant Groves,Wilsonshire,MI,63397,USA,3/26/2023,1006,Laptop,Luxora,331.36,98,1,183.82,147.54,3/25/2024,Credit Card,4/25/2024,1,Poor,"It's okay, not the best."
86,168,William Phillips,julian21@gmail.com,7690361565,556 Emily Island Apt. 811,East Brendan,OK,66623,USA,3/27/2023,1002,Smartphone,EcoGear,529.71,187,1,164.56,365.15,3/26/2024,Credit Card,4/26/2024,1,Poor,Overall good performance but some issues.
87,147,Traci Simpson,matthewford@yahoo.com,4030503975,6843 Mary Mills,New Carlaborough,KY,21133,USA,3/28/2023,1009,Accessory,NovaTech,1246.69,184,3,146.74,3593.33,3/27/2024,Debit Card,4/27/2024,4,Average,Not satisfied with the product.
88,103,Toni Thompson,wallacemichael@shaw.com,5041448895,6400 Richard Ford Suite 537,Charlesview,AZ,68304,USA,3/29/2023,1003,Accessory,UrbanGoods,403.71,46,2,8.91,798.51,3/28/2024,PayPal,4/28/2024,5,Good,"It's okay, not the best."
89,176,Katelyn Crosby,matthew80@gmail.com,6576787605,36293 Samuel Pine,Jessicachester,MS,47082,USA,3/30/2023,1005,Laptop,Luxora,530.82,18,4,180.81,1942.47,3/29/2024,Cryptocurrency,4/29/2024,2,Excellent,Overall good performance but some issues.
90,152,Alyssa Wilson,jayhudson@russell-simmons.info,8816820873,80758 Jonathan Fall Suite 478,Jenniferfort,RI,42850,USA,3/31/2023,1007,Smartphone,NovaTech,547.45,147,1,116.65,430.8,3/30/2024,PayPal,4/30/2024,4,Poor,Overall good performance but some issues.
91,178,Beverly Tran MD,wendy20@hotmail.com,1092904346,543 Hayes Manor,Ericaland,RI,46140,USA,4/1/2023,1009,Accessory,EcoGear,1211.51,139,3,30.66,3603.87,3/31/2024,Credit Card,5/1/2024,3,Good,Really happy with the performance.
92,115,David Willis,harrisscott@yahoo.com,9717064899,23012 Timothy Dam,Jeremystad,NJ,23219,USA,4/2/2023,1000,Laptop,Luxora,103.69,176,2,139.82,67.56,4/1/2024,Bank Transfer,5/2/2024,5,Below Average,Overall good performance but some issues.
93,120,Brandon Aguilar,allenhopkins@yahoo.com,2197630182,195 William Squares,Scottshire,ID,8381,USA,4/3/2023,1007,Accessory,UrbanGoods,156.99,158,3,58.02,412.95,4/2/2024,PayPal,5/3/2024,3,Excellent,Terrible experience.
94,199,Dana Perry,ftaylor@kim.com,8393632414,25388 Morgan Lodge,Williamsberg,ID,48529,USA,4/4/2023,1001,Accessory,UrbanGoods,888.75,55,4,139.89,3415.11,4/3/2024,PayPal,5/4/2024,5,Poor,Overall good performance but some issues.
95,158,Shelley Wilson,manderson@hall.info,3625952923,5445 Hayes Hill,Smithton,VT,23151,USA,4/5/2023,1002,Smartphone,EcoGear,625.81,99,4,20.68,2482.56,4/4/2024,Credit Card,5/5/2024,5,Average,Terrible experience.
96,123,John Morris,knoxchad@yahoo.com,2179331680,6799 Flores Mills,West Justinshire,MA,83054,USA,4/6/2023,1005,Laptop,UrbanGoods,967.68,182,4,195.14,3675.58,4/5/2024,Debit Card,5/6/2024,5,Average,"It's okay, not the best."
97,179,Jonathan Wright,flowe@butler.com,5685966441,2135 Thomas Ranch,Michaelland,VT,38462,USA,4/7/2023,1000,Accessory,EcoGear,436.37,99,3,17.97,1291.14,4/6/2024,Credit Card,5/7/2024,2,Excellent,Not satisfied with the product.
98,113,Michael Hall,taylorcody@martin-waller.com,2572779156,72810 Michael Shoals,New Mariahmouth,OR,42608,USA,4/8/2023,1005,Accessory,NovaTech,1368.89,74,3,174.2,3932.47,4/7/2024,PayPal,5/8/2024,5,Poor,Not satisfied with the product.
99,185,Ashley Davis,jean88@yahoo.com,7104645271,19591 Sharon Lane Apt. 794,Port Elizabeth,WA,39962,USA,4/9/2023,1008,Smartphone,PrimeElectro,1153.37,113,4,66.6,4546.88,4/8/2024,PayPal,5/9/2024,4,Poor,Terrible experience.
100,148,Jasmin Scott,chungkatherine@yahoo.com,9933477186,02861 Nelson Estate Apt. 463,East Bethchester,UT,11935,USA,4/10/2023,1009,Smartphone,EcoGear,148.23,68,2,62.15,234.31,4/9/2024,Bank Transfer,5/10/2024,1,Below Average,Really happy with the performance.
101,149,Randall Hill,christopher38@gmail.com,1990691457,17463 Allison Rest,Younghaven,NY,10521,USA,4/11/2023,1008,Accessory,PrimeElectro,1186.66,80,2,82.02,2291.3,4/10/2024,PayPal,5/11/2024,5,Below Average,Not satisfied with the product.
